,ID,Species,Temperature Range
432,A0A7X2L389,Paenibacillus monticola,[50-55)
28,O08342,Paenibacillus barcinonensis,[50-55)
157,A0A6I7F9R8,Bacillus sp.,[50-55)
284,A0A172ZEK7,Paenibacillus bovis,[50-55)
280,A0A172ZEK7,Paenibacillus bovis,[50-55)
163,A0A7G7U8F5,Bacillus sp.,[50-55)
286,A0A172ZEK7,Paenibacillus bovis,[50-55)
273,A0A167B7D7,Paenibacillus crassostreae,[50-55)
326,A0A1I0C2D6,Paenibacillus sp.,[50-55)
276,A0A167B7D7,Paenibacillus crassostreae,[50-55)
274,A0A167B7D7,Paenibacillus crassostreae,[50-55)
247,A0A089M629,Paenibacillus sp.,[50-55)
458,A0A357M4B3,Paenibacillus sp.,[50-55)
332,A0A1Q5WPN6,Paenibacillus sp.,[50-55)
588,A1CFQ9,Aspergillus clavatus,[50-55)
400,A0A3Q9I8E8,Paenibacillus lutimineralis,[50-55)
404,A0A3Q9I9A4,Paenibacillus lutimineralis,[50-55)
433,A0A7X2L389,Paenibacillus monticola,[50-55)
431,A0A7X2L389,Paenibacillus monticola,[50-55)
434,A0A7X2L389,Paenibacillus monticola,[50-55)
146,A0A2M8T350,Bacillus sp.,[50-55)
177,A0A7Y8V0X1,Bacillus sp.,[50-55)
64,A0A0A0RGT3,Bacillus amyloliquefaciens,[50-55)
23,A0A837XTL8,Bacillus atrophaeus,[50-55)
424,A0A6G4A6S7,Paenibacillus sp.,[50-55)
481,A0A1D8GR37,Bacillus licheniformis,[50-55)
379,A0A2W1LR43,Paenibacillus sambharensis,[50-55)
483,A0A1D8GR37,Bacillus licheniformis,[50-55)
382,A0A2W1LR43,Paenibacillus sambharensis,[50-55)
61,A0A0A0PHP9,Bacillus licheniformis,[50-55)
395,A0A3G8R7A8,Paenibacillus sp.,[50-55)
49,A0A0S2S8Q2,Paenibacillus sp.,[50-55)
381,A0A2W1LR43,Paenibacillus sambharensis,[50-55)
456,A0A357M4B3,Paenibacillus sp.,[50-55)
357,A0A1S2F5X9,Paenibacillus sp.,[50-55)
410,A0A5C8LJ84,Paenibacillus sp.,[50-55)
322,A0A1H7NEC5,Paenibacillus sp.,[50-55)
292,A0A1B2DNU9,Paenibacillus sp.,[50-55)
568,A0A0K6FR70,Rhizoctonia solani,[50-55)
26,A0A837XTL8,Bacillus atrophaeus,[50-55)
130,Q7X3S6,Bacillus licheniformis,[50-55)
162,A0A6I7F9R8,Bacillus sp.,[50-55)
422,A0A6G4A6S7,Paenibacillus sp.,[50-55)
301,A0A1E3L5T1,Paenibacillus nuruki,[50-55)
142,A0A0J6EJ48,Bacillus glycinifermentans,[50-55)
373,A0A2S0U5A9,Paenibacillus sp.,[50-55)
453,A0A357M4B3,Paenibacillus sp.,[50-55)
57,Q79F14,Bacillus subtilis,[40-45)
315,A0A1E3L808,Paenibacillus nuruki,[40-45)
63,A0A0A0RGT3,Bacillus amyloliquefaciens,[40-45)
70,A0A0A3X2W2,Acinetobacter sp.,[40-45)
16,P00781,Bacillus licheniformis,[40-45)
298,A0A1E3KX41,Paenibacillus nuruki,[40-45)
246,A0A089M629,Paenibacillus sp.,[40-45)
6,P00780,Bacillus licheniformis,[40-45)
147,A0A2M8T350,Bacillus sp.,[40-45)
53,P37957,Bacillus subtilis,[40-45)
401,A0A3Q9I8E8,Paenibacillus lutimineralis,[40-45)
158,A0A6I7F9R8,Bacillus sp.,[40-45)
344,A0A1Q5XE62,Paenibacillus sp.,[40-45)
208,Q93R81,Bacillus sp.,[40-45)
9,P00780,Bacillus licheniformis,[40-45)
7,P00780,Bacillus licheniformis,[40-45)
506,A2R1X8,Aspergillus niger,[40-45)
2,P00780,Bacillus licheniformis,[40-45)
305,A0A1E3L5T1,Paenibacillus nuruki,[40-45)
307,A0A1E3L808,Paenibacillus nuruki,[45-50)
443,A5A6G0,Paenibacillus sp.,[45-50)
438,A5A6G0,Paenibacillus sp.,[45-50)
383,A0A2W1LR43,Paenibacillus sambharensis,[45-50)
442,A5A6G0,Paenibacillus sp.,[45-50)
565,A0A074RVL6,Rhizoctonia solani,[45-50)
574,X8J234,Rhizoctonia solani,[45-50)
283,A0A172ZEK7,Paenibacillus bovis,[45-50)
304,A0A1E3L5T1,Paenibacillus nuruki,[45-50)
309,A0A1E3L808,Paenibacillus nuruki,[45-50)
444,A5A6G0,Paenibacillus sp.,[45-50)
217,A0A2S0JX80,Lysinibacillus sphaericus,[45-50)
14,P00781,Bacillus licheniformis,[45-50)
17,P00781,Bacillus licheniformis,[45-50)
476,A0A0D4L548,Bacillus subtilis,[45-50)
222,A0A2S5D2W9,Lysinibacillus sphaericus,[45-50)
221,A0A2S5D2W9,Lysinibacillus sphaericus,[45-50)
203,Q93R81,Bacillus sp.,[45-50)
22,A0A837XTL8,Bacillus atrophaeus,[45-50)
226,A0A2S5D2W9,Lysinibacillus sphaericus,[45-50)
20,A0A837XTL8,Bacillus atrophaeus,[45-50)
21,A0A837XTL8,Bacillus atrophaeus,[45-50)
225,A0A2S5D2W9,Lysinibacillus sphaericus,[45-50)
460,A0A357M4B3,Paenibacillus sp.,<40
252,A0A089M629,Paenibacillus sp.,<40
41,A0A0S2S8N1,Paenibacillus sp.,<40
44,A0A0S2S8N1,Paenibacillus sp.,<40
331,A0A1I6QBR1,Paenibacillus sp.,<40
323,A0A1H7NEC5,Paenibacillus sp.,<40
361,A0A1S2F5X9,Paenibacillus sp.,<40
253,A0A089M629,Paenibacillus sp.,<40
325,A0A1H7NEC5,Paenibacillus sp.,<40
297,A0A1B2DNU9,Paenibacillus sp.,<40
448,W4B544,Paenibacillus sp.,<40
320,A0A1H7NEC5,Paenibacillus sp.,<40
